Map; Models; Solved; Average Actions; SD(Actions); Average Runtime; SD(Runtime); Average Efficiency; SD(Efficiency)
open-divider_onionsalad; agm-6, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
open-divider_onionsalad; mac, agm-6;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
open-divider_onionsalad; bd, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
open-divider_onionsalad; mac, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
open-divider_onionsalad; agm-6, bd;  0.60;  46.33;  6.34;  2358.547;  170.546;  0.0199;  0.0043
open-divider_onionsalad; bd, agm-6;  1.00;  37.00;  2.76;  1431.747;  117.576;  0.0259;  0.0019
open-divider_salad; agm-6, mac;  1.00;  34.40;  3.93;  4.259;  1.163;  8.5873;  2.0830
open-divider_salad; mac, agm-6;  1.00;  28.80;  1.17;  2.199;  0.175;  13.1819;  1.1814
open-divider_salad; bd, mac;  0.60;  32.33;  1.70;  1237.090;  313.056;  0.0286;  0.0098
open-divider_salad; mac, bd;  1.00;  28.40;  1.02;  1226.452;  187.726;  0.0236;  0.0033
open-divider_salad; agm-6, bd;  1.00;  29.60;  2.80;  1172.964;  242.551;  0.0258;  0.0029
open-divider_salad; bd, agm-6;  1.00;  29.40;  2.06;  1183.205;  154.791;  0.0251;  0.0021
open-divider_tl; agm-6, mac;  1.00;  35.80;  6.18;  6.378;  2.805;  6.4422;  2.0154
open-divider_tl; mac, agm-6;  1.00;  30.00;  1.79;  3.478;  1.074;  9.5732;  3.1841
open-divider_tl; bd, mac;  1.00;  40.60;  3.07;  646.504;  240.366;  0.0679;  0.0141
open-divider_tl; mac, bd;  1.00;  33.00;  2.19;  823.022;  164.301;  0.0418;  0.0091
open-divider_tl; agm-6, bd;  1.00;  38.60;  7.12;  916.234;  448.603;  0.0520;  0.0207
open-divider_tl; bd, agm-6;  1.00;  35.40;  5.46;  589.478;  154.419;  0.0640;  0.0171
open-divider_tomato; agm-6, mac;  1.00;  23.20;  0.40;  0.573;  0.133;  42.5332;  9.0122
open-divider_tomato; mac, agm-6;  1.00;  26.40;  0.80;  0.502;  0.030;  52.7333;  3.5128
open-divider_tomato; bd, mac;  1.00;  24.20;  1.17;  373.023;  184.093;  0.1038;  0.0865
open-divider_tomato; mac, bd;  1.00;  23.20;  0.40;  140.184;  3.278;  0.1656;  0.0054
open-divider_tomato; agm-6, bd;  1.00;  26.80;  1.94;  239.244;  142.032;  0.1525;  0.0694
open-divider_tomato; bd, agm-6;  1.00;  24.60;  1.36;  208.260;  129.742;  0.1695;  0.0837
