Map; Models; Solved; Average Actions; SD(Actions); Average Runtime; SD(Runtime); Average Efficiency; SD(Efficiency)
onionsalad; mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; bd, bd;  0.40;  53.00;  0.00;  7160.356;  512.532;  0.0074;  0.0005
onionsalad; agm-6, agm-6;  1.00;  48.80;  6.79;  11.570;  5.263;  4.9067;  1.6180
onionsalad; mac, mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; agm-6, agm-6, agm-6;  1.00;  38.40;  3.14;  852.359;  635.750;  0.1007;  0.1005
onionsalad; agm-1, agm-1, agm-1;  1.00;  34.00;  2.83;  1561.077;  2087.173;  0.0678;  0.0527
onionsalad; agm-1, agm-1;  1.00;  45.40;  4.84;  12.879;  3.703;  3.7856;  0.9662
salad; mac, mac;  1.00;  31.80;  2.32;  4.374;  1.991;  9.7030;  6.0562
salad; bd, bd;  0.80;  34.50;  9.55;  3345.154;  353.302;  0.0102;  0.0021
salad; agm-6, agm-6;  1.00;  30.20;  3.54;  2.490;  1.087;  14.5317;  5.6125
salad; mac, mac, mac;  0.40;  28.00;  3.00;  6620.295;  1321.397;  0.0043;  0.0004
salad; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
salad; agm-6, agm-6, agm-6;  1.00;  30.60;  4.67;  244.345;  96.119;  0.1466;  0.0579
salad; agm-1, agm-1, agm-1;  1.00;  31.80;  1.72;  1680.318;  1675.314;  0.0729;  0.0763
salad; agm-1, agm-1;  1.00;  32.40;  4.41;  2.539;  0.772;  14.3389;  5.2250
tl; mac, mac;  1.00;  32.60;  1.62;  7.401;  3.852;  5.8317;  2.9764
tl; bd, bd;  1.00;  36.20;  5.98;  1574.794;  180.964;  0.0231;  0.0033
tl; agm-6, agm-6;  1.00;  34.20;  5.42;  1.739;  0.579;  21.1025;  5.0321
tl; mac, mac, mac;  0.80;  30.75;  1.79;  7014.474;  2253.552;  0.0052;  0.0027
tl; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
tl; agm-6, agm-6, agm-6;  1.00;  37.40;  3.61;  218.411;  98.667;  0.2154;  0.1008
tl; agm-1, agm-1, agm-1;  1.00;  41.00;  4.56;  1721.768;  1895.988;  0.1036;  0.1043
tl; agm-1, agm-1;  1.00;  42.80;  6.85;  3.112;  2.010;  17.6628;  7.1737
tomato; mac, mac;  1.00;  23.00;  0.00;  0.813;  0.030;  28.3249;  1.0693
tomato; bd, bd;  1.00;  24.60;  1.85;  610.032;  344.169;  0.0513;  0.0206
tomato; agm-6, agm-6;  1.00;  24.80;  0.75;  0.553;  0.038;  45.0857;  3.8056
tomato; mac, mac, mac;  1.00;  23.00;  0.00;  1270.661;  152.534;  0.0184;  0.0024
tomato; bd, bd, bd;  1.00;  29.60;  4.80;  6328.192;  2089.038;  0.0051;  0.0013
tomato; agm-6, agm-6, agm-6;  1.00;  25.20;  1.60;  17.563;  11.730;  1.8229;  0.5949
tomato; agm-1, agm-1, agm-1;  1.00;  26.00;  1.90;  30.419;  10.441;  0.9639;  0.3208
tomato; agm-1, agm-1;  1.00;  25.40;  1.74;  0.814;  0.104;  31.5287;  2.9636
