Map; Models; Solved; Average Actions; SD(Actions); Average Runtime; SD(Runtime); Average Efficiency; SD(Efficiency)
onionsalad; mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; agm-6, agm-6;  1.00;  37.40;  2.87;  240.841;  211.764;  0.5505;  0.5266
onionsalad; mac, mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
onionsalad; agm-6, agm-6, agm-6;  1.00;  35.20;  3.60;  1583.808;  830.306;  0.0273;  0.0107
onionsalad; agm-1, agm-1, agm-1;  1.00;  30.20;  1.47;  3168.395;  2844.617;  0.0186;  0.0125
onionsalad; agm-1, agm-1;  1.00;  37.80;  3.66;  613.601;  519.045;  0.3014;  0.3281
salad; mac, mac;  1.00;  27.80;  1.47;  34.925;  37.396;  4.3616;  3.6350
salad; bd, bd;  0.60;  32.33;  4.64;  1826.870;  213.488;  0.0178;  0.0023
salad; agm-6, agm-6;  1.00;  26.40;  1.62;  3.327;  0.256;  7.9743;  0.6787
salad; mac, mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
salad; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
salad; agm-6, agm-6, agm-6;  1.00;  22.00;  2.83;  91.663;  16.334;  0.2431;  0.0278
salad; agm-1, agm-1, agm-1;  1.00;  22.00;  1.79;  165.606;  35.404;  0.1379;  0.0248
salad; agm-1, agm-1;  1.00;  26.60;  2.87;  3.575;  0.397;  7.4435;  0.1280
tl; mac, mac;  0.20;  40.00;  0.00;  0.943;  0.000;  42.4171;  0.0000
tl; bd, bd;  1.00;  43.40;  3.98;  1935.358;  642.614;  0.0245;  0.0070
tl; agm-6, agm-6;  1.00;  38.20;  3.25;  3.773;  0.511;  10.1936;  0.6516
tl; mac, mac, mac;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
tl; bd, bd, bd;  0.00;  0.00;  0.00;  0.000;  0.000;  0.0000;  0.0000
tl; agm-6, agm-6, agm-6;  1.00;  40.20;  5.00;  128.946;  24.857;  0.3198;  0.0502
tl; agm-1, agm-1, agm-1;  1.00;  37.40;  4.59;  227.188;  47.820;  0.1729;  0.0445
tl; agm-1, agm-1;  1.00;  39.00;  2.61;  3.827;  0.219;  10.1870;  0.2869
tomato; mac, mac;  1.00;  23.00;  0.00;  0.436;  0.009;  52.8147;  1.0311
tomato; bd, bd;  1.00;  20.20;  0.98;  323.069;  57.709;  0.0648;  0.0128
tomato; agm-6, agm-6;  1.00;  20.80;  1.83;  1.299;  0.401;  17.2144;  4.0543
tomato; mac, mac, mac;  1.00;  23.00;  0.00;  28.634;  0.153;  0.8033;  0.0043
tomato; bd, bd, bd;  1.00;  21.20;  2.79;  4250.032;  718.696;  0.0051;  0.0007
tomato; agm-6, agm-6, agm-6;  1.00;  21.40;  2.33;  37.290;  2.752;  0.5730;  0.0295
tomato; agm-1, agm-1, agm-1;  1.00;  19.40;  1.20;  63.764;  12.892;  0.3172;  0.0670
tomato; agm-1, agm-1;  1.00;  19.00;  0.89;  1.215;  0.039;  15.6683;  1.1031
